No,연번,역명,호선,구,동,상세주소,,경도,위도,상태
159,159,천호(풍납토성),5,강동구,천호동,"서울특별시 강동구 천호동 455 천호역(5, 8호선)",6311-5470,127.1250848,37.5384917,정좌표
160,160,강동,5,강동구,천호동,서울특별시 강동구 천호동 447 강동역,6311-5480,127.1341039,37.53577251,정좌표
161,161,길동,5,강동구,길동,서울특별시 강동구 길동 378 길동역,6311-5490,127.1396674,37.53855645,인근좌표
162,162,굽은다리(강동구민회관앞),5,강동구,명일동,서울특별시 강동구 명일동 345-12 굽은다리역,6311-5500,127.1431431,37.54604365,정좌표
163,163,명일,5,강동구,명일동,서울특별시 강동구 명일동 312 명일역,6311-5510,127.1428561,37.5535728,인근좌표
164,164,고덕,5,강동구,고덕동,서울특별시 강동구 고덕동 310 고덕역,6311-5520,127.1538297,37.55561757,정좌표
165,165,상일동,5,강동구,상일동,서울특별시 강동구 상일동 148 상일동역,6311-5530,127.1568679,37.55349232,정좌표
166,166,둔촌동,5,강동구,둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역,6311-5540,127.1391351,37.52807932,인근좌표
167,167,올림픽공원(한국체대),5,송파구,방이동,서울특별시 송파구 방이동 89-28 올림픽공원역,6311-5550,127.1311096,37.51654226,정좌표
168,168,방이,5,송파구,방이동,서울특별시 송파구 방이동 217-2 방이역,6311-5560,127.1254292,37.50802533,정좌표
169,169,오금,5,송파구,오금동,서울특별시 송파구 오금동 44-2 오금역,6311-3521,127.1261435,37.50340369,정좌표
170,170,개롱,5,송파구,오금동,서울특별시 송파구 오금동 165-2 개롱역,6311-5580,127.1339045,37.49868141,인근좌표
171,171,거여,5,송파구,거여동,서울특별시 송파구 거여동 20-14 거여역,6311-5590,127.1420006,37.49424032,정좌표
172,172,마천,5,송파구,마천동,서울특별시 송파구 마천동 307-4 마천역,6311-5600,127.151941,37.49444296,정좌표
173,173,응암,6,은평구,역촌동,서울특별시 은평구 역촌동 85-41 응암역,6311-6100,126.9153093,37.59927827,정좌표
174,174,역촌,6,은평구,녹번동,서울특별시 은평구 녹번동 144-69 역촌역,6311-6110,126.9232746,37.60621247,정좌표
175,175,불광,6,은평구,대조동,서울특별시 은평구 대조동 14-1 불광역(6호선),6311-6120,126.9292724,37.61052598,정좌표
176,176,독바위,6,은평구,불광동,서울특별시 은평구 불광동 13-33 독바위역,6311-6130,126.9328321,37.61836767,정좌표
177,177,연신내,6,은평구,갈현동,서울특별시 은평구 갈현동 397 연신내역,6311-3211,126.9208264,37.61892105,정좌표
178,178,구산,6,은평구,구산동,서울특별시 은평구 구산동 1 구산역,6311-6150,126.9167775,37.61114184,인근좌표
179,179,새절(신사),6,은평구,신사동,서울특별시 은평구 신사동 337-5 새절역,6311-6160,126.9132594,37.5911487,정좌표
180,180,증산(명지대앞),6,은평구,증산동,서울특별시 은평구 증산동 199-8 증산역,6311-6170,126.9093509,37.58363955,정좌표
181,181,디지털미디어시티,6,은평구,수색동,서울특별시 은평구 수색동 37-36 디지털미디어시티역,6311-6180,126.9016039,37.57693049,정좌표
182,182,월드컵경기장(성산),6,마포구,성산동,서울특별시 마포구 성산동 420 월드컵경기장역,6311-6190,126.8988541,37.56999456,인근좌표
183,183,마포구청,6,마포구,성산동,서울특별시 마포구 성산동 592 마포구청역,6311-6200,126.9028697,37.56443134,인근좌표
184,184,망원,6,마포구,망원동,서울특별시 마포구 망원동 378 망원역,6311-6210,126.9097283,37.55558068,인근좌표
185,185,합정,6,마포구,합정동,서울특별시 마포구 합정동 414 합정역(6호선),6311-6220,126.9145015,37.54947734,인근좌표
186,186,상수,6,마포구,상수동,서울특별시 마포구 상수동 309-10 상수역,6311-6230,126.9228056,37.54798258,정좌표
187,187,광흥창(서강),6,마포구,창전동,서울특별시 마포구 창전동 145-17 광흥창역,6311-6240,126.9324358,37.54746052,정좌표
188,188,대흥(서강대앞),6,마포구,대흥동,서울특별시 마포구 대흥동 128-1 대흥역,6311-6250,126.942353,37.54771815,정좌표
189,189,공덕,6,마포구,공덕동,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",6311-5290,126.9511701,37.54447613,정좌표
190,190,효창공원앞,6,용산구,효창동,서울특별시 용산구 효창동 80 효창공원앞역,6311-6270,126.9609662,37.53962431,정좌표
191,191,삼각지,6,용산구,한강로1가,서울특별시 용산구 한강로1가 228-1 삼각지역(6호선),6311-6280,126.9731967,37.53464222,정좌표
192,192,녹사평(용산구청),6,용산구,용산동,서울특별시 용산구 용산동 4가 4 녹사평역,6311-6290,126.9854998,37.53443478,정좌표
193,193,이태원,6,용산구,이태원동,서울특별시 용산구 이태원동 119-23 이태원역,6311-6300,126.9946248,37.53453722,정좌표
194,194,한강진,6,용산구,한남동,서울특별시 용산구 한남동 726-494 한강진역,6311-6310,127.0018158,37.54079653,정좌표
195,195,버티고개,6,중구,신당동,서울특별시 중구 신당동 366-454 버티고개역,6311-6320,127.007042,37.5481783,정좌표
196,196,약수,6,중구,신당동,서울특별시 중구 신당동 369-2 약수역(6호선),6311-6330,127.0104708,37.55475374,정좌표
197,197,청구,6,중구,신당동,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",6311-5370,127.0138456,37.56033751,정좌표
198,198,신당,6,중구,흥인동,서울특별시 중구 흥인동 162-1 신당역(6호선),6311-6350,127.0161991,37.5672362,정좌표
199,199,동묘앞,6,종로구,창신동,서울특별시 종로구 창신동 263-2 동묘앞역(6호선),6311-6360,127.0155981,37.57276793,정좌표
200,200,창신,6,종로구,창신동,서울특별시 종로구 창신동 20-8 창신역,6311-6370,127.0151636,37.57943889,정좌표
201,201,보문,6,성북구,보문동,서울특별시 성북구 보문동 1가 127-1 보문역,6311-6380,127.0196898,37.58576645,정좌표
202,202,안암(고대병원앞),6,성북구,안암동5가,서울특별시 성북구 안암동5가 146-1 안암역,6311-6390,127.0293727,37.58612598,정좌표
203,203,고려대(종암),6,성북구,종암동,서울특별시 성북구 종암동 29-18 고려대역,6311-6400,127.0360906,37.59053048,정좌표
204,204,월곡(동덕여대),6,성북구,하월곡동,서울특별시 성북구 하월곡동 35-1 월곡역,6311-6410,127.0413894,37.60173945,정좌표
205,205,상월곡(한국과학기술연구원),6,성북구,상월곡동,서울특별시 성북구 상월곡동 26-1 상월곡역,6311-6420,127.0498045,37.60707699,정좌표
206,206,돌곶이,6,성북구,석관동,서울특별시 성북구 석관동 349-8 돌곶이역,6311-6430,127.0571197,37.61059496,정좌표
207,207,석계,6,노원구,월계동,서울특별시 노원구 월계동 25-2 석계역,6311-6440,127.0667908,37.6152601,정좌표
208,208,태릉입구,6,노원구,공릉동,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",6311-7170,127.0751094,37.61913369,정좌표
209,209,화랑대(서울여대입구),6,노원구,공릉동,서울특별시 노원구 공릉동 285-2 화랑대역,6311-6460,127.0832606,37.61988684,정좌표
210,210,봉화산(서울의료원),6,중랑구,신내동,서울특별시 중랑구 신내동 643-1 봉화산역,6311-6470,127.0932893,37.61641482,정좌표
211,211,장암,7,경기도 의정부시,장암동,경기도 의정부시 장암동 160-8 장암역,6311-7090,127.053072,37.70014061,정좌표
212,212,도봉산,7,도봉구,도봉동,서울특별시 도봉구 도봉동 38-3 도봉산역,6311-7100,127.0466393,37.68902459,정좌표
213,213,수락산,7,노원구,상계동,서울특별시 노원구 상계동 1132-9 수락산역,6311-7110,127.0553218,37.67744567,정좌표
214,214,마들,7,노원구,상계동,서울특별시 노원구 상계동 650 마들역,6311-7120,127.0569861,37.6676075,정좌표
215,215,노원,7,노원구,상계동,서울특별시 노원구 상계동 729-0 노원역(7호선),6311-7130,127.0607795,37.65349863,정좌표
216,216,중계,7,노원구,중계동,서울특별시 노원구 중계동 503-3 중계역,6311-7140,127.065155,37.64268899,정좌표
217,217,하계,7,노원구,하계동,서울특별시 노원구 하계동 273-5 하계역,6311-7150,127.0685009,37.63524368,정좌표
