지역명,2018년 전체,2018년 1층,2018년 1층 외,2019년,2019년 1층,2019년 1층 외,2020년,2020년 1층,2020년 1층 외
시흥2동,83534 ,117841 ,40650 ,112482 ,154385 ,45436 ,112368 ,148734 ,77457 
시흥3동,64622 ,112970 ,39141 ,86160 ,84629 ,87110 ,129313 ,108688 ,144746 
시흥4동,,74779 ,,96487 ,124566 ,34090 ,85538 ,98242 ,65101 
시흥5동,90177 ,102226 ,63243 ,112491 ,143357 ,48700 ,95882 ,108886 ,44429 
영등포구,92041 ,114619 ,70306 ,96426 ,112877 ,79890 ,107455 ,125517 ,88168 
영등포본동,94701 ,94151 ,95250 ,108294 ,98479 ,113202 ,121381 ,96928 ,143305 
영등포동,100903 ,132615 ,74892 ,106245 ,116882 ,95256 ,128319 ,137104 ,115755 
여의동,110053 ,202002 ,86789 ,130804 ,214929 ,100953 ,129517 ,205060 ,96870 
당산1동,79039 ,102363 ,60671 ,74853 ,95363 ,52366 ,90619 ,110628 ,69379 
당산2동,112422 ,148624 ,72198 ,95330 ,139029 ,69508 ,111268 ,158228 ,80362 
도림동,73749 ,95069 ,38864 ,67580 ,78083 ,49200 ,90715 ,99329 ,75806 
문래동,92461 ,111183 ,64700 ,90362 ,99272 ,78976 ,97731 ,103743 ,90196 
양평1동,77025 ,76125 ,78429 ,81360 ,95644 ,55799 ,91919 ,94853 ,87465 
양평2동,83199 ,102507 ,66304 ,91473 ,103523 ,81029 ,91689 ,115206 ,64579 
신길1동,72181 ,85962 ,46342 ,94809 ,106051 ,64454 ,112124 ,129127 ,71032 
신길3동,91911 ,113770 ,41467 ,98862 ,114382 ,61355 ,74744 ,86216 ,47976 
신길4동,,84859 ,,58446 ,77096 ,35134 ,55258 ,56603 ,52375 
신길5동,,64386 ,,72384 ,81190 ,38626 ,88674 ,102499 ,50656 
신길6동,87312 ,135817 ,44869 ,87898 ,99439 ,61740 ,90303 ,101326 ,64833 
신길7동,107167 ,111953 ,97597 ,126884 ,96103 ,162795 ,110026 ,118010 ,97650 
대림1동,71598 ,91275 ,36179 ,88436 ,106990 ,54808 ,92759 ,112461 ,58871 
대림2동,106750 ,120684 ,82864 ,105101 ,125304 ,70756 ,123788 ,149551 ,84900 
대림3동,69108 ,89118 ,40345 ,68516 ,90307 ,42055 ,78152 ,97441 ,57275 
동작구,107769 ,127443 ,78093 ,111730 ,132392 ,77071 ,115375 ,140186 ,79710 
노량진1동,126907 ,145374 ,99976 ,135584 ,163028 ,98454 ,136694 ,166693 ,91097 
노량진2동,131809 ,151707 ,97251 ,116709 ,140995 ,83591 ,142975 ,160181 ,114420 
상도1동,95864 ,110881 ,79393 ,113619 ,145612 ,74402 ,99768 ,120813 ,72306 
상도2동,105791 ,126265 ,65772 ,115232 ,138059 ,79235 ,109464 ,134669 ,77287 
