연번,역명,호선,구,동,상세주소,
262,암사,8,강동구,암사동,서울특별시 강동구 암사동 501 암사역,6311-8100
263,천호(풍납토성),8,강동구,천호동,"서울특별시 강동구 천호동 455 천호역(5, 8호선)",6311-5470
264,강동구청,8,강동구,성내동,서울특별시 강동구 성내동 319 강동구청역,6311-8120
265,몽촌토성(평화의문),8,송파구,신천동,서울특별시 송파구 신천동 19 몽촌토성역,6311-8130
266,잠실(송파구청),8,송파구,잠실동,서울특별시 송파구 잠실동 7-4 잠실역(8호선),6311-8140
267,석촌,8,송파구,석촌동,서울특별시 송파구 석촌동 209 석촌역,6311-8150
268,송파,8,송파구,가락동,서울특별시 송파구 가락동 459-4 송파역,6311-8160
269,가락시장,8,송파구,가락동,"서울특별시 송파구 가락동 184-23 가락시장역(3, 8호선)",6311-8170
270,문정,8,송파구,문정동,서울특별시 송파구 문정동 119-4 문정역,6311-8180
271,장지,8,송파구,장지동,서울특별시 송파구 장지동 201-5 장지역,6311-8190
272,복정,8,송파구,장지동,서울특별시 송파구 장지동 596-21 복정역,6311-8200
273,산성,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 7-4 산성역,6311-8210
274,남한산성입구(성남법원?검찰청),8,성남시,수정구 단대동,경기도 성남시 수정구 단대동 96 남한산성입구역,6311-8220
275,단대오거리,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 2467 단대오거리역,6311-8230
276,신흥,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 2467 신흥역,6311-8240
277,수진,8,성남시,수정구 수진동,경기도 성남시 수정구 수진동 2205-1 수진역,6311-8250
278,모란,8,성남시,수정구 수진동,경기도 성남시 수정구 수진동 4808 모란역,6311-8260
